"trial_type","trial_number","key_pressed","correctness","RT","picture","key1","key2","f","j","expected","Mapping","startDate","startTime","age","gender","handedness","education","languages","comments","endTime","timeSpent","experiment_id",
"practice","1","j","correct","3209","images/large_stimulus.jpg","f","j","small","large","large","compatible","Tue Jul 21 2020 20:23:12 GMT+0200 (Central European Summer Time)","1595355792343","22","male","right","Graduated High School","german","","1595356488621","11.604633333333334","INSERT_A_NUMBER",
"practice","2","j","correct","3018","images/large_stimulus.jpg","f","j","small","large","large","compatible","Tue Jul 21 2020 20:23:12 GMT+0200 (Central European Summer Time)","1595355792343","22","male","right","Graduated High School","german","","1595356488621","11.604633333333334","INSERT_A_NUMBER",
"practice","3","j","correct","2918","images/large_stimulus.jpg","f","j","small","large","large","compatible","Tue Jul 21 2020 20:23:12 GMT+0200 (Central European Summer Time)","1595355792343","22","male","right","Graduated High School","german","","1595356488621","11.604633333333334","INSERT_A_NUMBER",
"practice","4","f","correct","3153","images/small_stimulus.jpg","f","j","small","large","small","compatible","Tue Jul 21 2020 20:23:12 GMT+0200 (Central European Summer Time)","1595355792343","22","male","right","Graduated High School","german","","1595356488621","11.604633333333334","INSERT_A_NUMBER",
"practice","5","j","correct","2926","images/large_stimulus.jpg","f","j","small","large","large","compatible","Tue Jul 21 2020 20:23:12 GMT+0200 (Central European Summer Time)","1595355792343","22","male","right","Graduated High School","german","","1595356488621","11.604633333333334","INSERT_A_NUMBER",
"practice","6","f","correct","2918","images/small_stimulus.jpg","f","j","small","large","small","compatible","Tue Jul 21 2020 20:23:12 GMT+0200 (Central European Summer Time)","1595355792343","22","male","right","Graduated High School","german","","1595356488621","11.604633333333334","INSERT_A_NUMBER",
"practice","7","f","correct","3036","images/small_stimulus.jpg","f","j","small","large","small","compatible","Tue Jul 21 2020 20:23:12 GMT+0200 (Central European Summer Time)","1595355792343","22","male","right","Graduated High School","german","","1595356488621","11.604633333333334","INSERT_A_NUMBER",
"practice","8","j","correct","3040","images/large_stimulus.jpg","f","j","small","large","large","compatible","Tue Jul 21 2020 20:23:12 GMT+0200 (Central European Summer Time)","1595355792343","22","male","right","Graduated High School","german","","1595356488621","11.604633333333334","INSERT_A_NUMBER",
"practice","9","f","correct","3145","images/small_stimulus.jpg","f","j","small","large","small","compatible","Tue Jul 21 2020 20:23:12 GMT+0200 (Central European Summer Time)","1595355792343","22","male","right","Graduated High School","german","","1595356488621","11.604633333333334","INSERT_A_NUMBER",
"practice","10","f","correct","2956","images/small_stimulus.jpg","f","j","small","large","small","compatible","Tue Jul 21 2020 20:23:12 GMT+0200 (Central European Summer Time)","1595355792343","22","male","right","Graduated High School","german","","1595356488621","11.604633333333334","INSERT_A_NUMBER",
"main","1","f","correct","3100","images/small_stimulus.jpg","f","j","small","large","small","compatible","Tue Jul 21 2020 20:23:12 GMT+0200 (Central European Summer Time)","1595355792343","22","male","right","Graduated High School","german","","1595356488621","11.604633333333334","INSERT_A_NUMBER",
"main","2","f","correct","2910","images/small_stimulus.jpg","f","j","small","large","small","compatible","Tue Jul 21 2020 20:23:12 GMT+0200 (Central European Summer Time)","1595355792343","22","male","right","Graduated High School","german","","1595356488621","11.604633333333334","INSERT_A_NUMBER",
"main","3","j","correct","2896","images/large_stimulus.jpg","f","j","small","large","large","compatible","Tue Jul 21 2020 20:23:12 GMT+0200 (Central European Summer Time)","1595355792343","22","male","right","Graduated High School","german","","1595356488621","11.604633333333334","INSERT_A_NUMBER",
"main","4","j","correct","2939","images/large_stimulus.jpg","f","j","small","large","large","compatible","Tue Jul 21 2020 20:23:12 GMT+0200 (Central European Summer Time)","1595355792343","22","male","right","Graduated High School","german","","1595356488621","11.604633333333334","INSERT_A_NUMBER",
"main","5","j","correct","2921","images/large_stimulus.jpg","f","j","small","large","large","compatible","Tue Jul 21 2020 20:23:12 GMT+0200 (Central European Summer Time)","1595355792343","22","male","right","Graduated High School","german","","1595356488621","11.604633333333334","INSERT_A_NUMBER",
"main","6","j","correct","2957","images/large_stimulus.jpg","f","j","small","large","large","compatible","Tue Jul 21 2020 20:23:12 GMT+0200 (Central European Summer Time)","1595355792343","22","male","right","Graduated High School","german","","1595356488621","11.604633333333334","INSERT_A_NUMBER",
"main","7","f","correct","3063","images/small_stimulus.jpg","f","j","small","large","small","compatible","Tue Jul 21 2020 20:23:12 GMT+0200 (Central European Summer Time)","1595355792343","22","male","right","Graduated High School","german","","1595356488621","11.604633333333334","INSERT_A_NUMBER",
"main","8","j","correct","3022","images/large_stimulus.jpg","f","j","small","large","large","compatible","Tue Jul 21 2020 20:23:12 GMT+0200 (Central European Summer Time)","1595355792343","22","male","right","Graduated High School","german","","1595356488621","11.604633333333334","INSERT_A_NUMBER",
"main","9","j","correct","2976","images/large_stimulus.jpg","f","j","small","large","large","compatible","Tue Jul 21 2020 20:23:12 GMT+0200 (Central European Summer Time)","1595355792343","22","male","right","Graduated High School","german","","1595356488621","11.604633333333334","INSERT_A_NUMBER",
"main","10","f","correct","2938","images/small_stimulus.jpg","f","j","small","large","small","compatible","Tue Jul 21 2020 20:23:12 GMT+0200 (Central European Summer Time)","1595355792343","22","male","right","Graduated High School","german","","1595356488621","11.604633333333334","INSERT_A_NUMBER",
"main","11","j","correct","2947","images/large_stimulus.jpg","f","j","small","large","large","compatible","Tue Jul 21 2020 20:23:12 GMT+0200 (Central European Summer Time)","1595355792343","22","male","right","Graduated High School","german","","1595356488621","11.604633333333334","INSERT_A_NUMBER",
"main","12","j","correct","2985","images/large_stimulus.jpg","f","j","small","large","large","compatible","Tue Jul 21 2020 20:23:12 GMT+0200 (Central European Summer Time)","1595355792343","22","male","right","Graduated High School","german","","1595356488621","11.604633333333334","INSERT_A_NUMBER",
"main","13","f","correct","2875","images/small_stimulus.jpg","f","j","small","large","small","compatible","Tue Jul 21 2020 20:23:12 GMT+0200 (Central European Summer Time)","1595355792343","22","male","right","Graduated High School","german","","1595356488621","11.604633333333334","INSERT_A_NUMBER",
"main","14","j","correct","2911","images/large_stimulus.jpg","f","j","small","large","large","compatible","Tue Jul 21 2020 20:23:12 GMT+0200 (Central European Summer Time)","1595355792343","22","male","right","Graduated High School","german","","1595356488621","11.604633333333334","INSERT_A_NUMBER",
"main","15","f","correct","2910","images/small_stimulus.jpg","f","j","small","large","small","compatible","Tue Jul 21 2020 20:23:12 GMT+0200 (Central European Summer Time)","1595355792343","22","male","right","Graduated High School","german","","1595356488621","11.604633333333334","INSERT_A_NUMBER",
"main","16","f","correct","3026","images/small_stimulus.jpg","f","j","small","large","small","compatible","Tue Jul 21 2020 20:23:12 GMT+0200 (Central European Summer Time)","1595355792343","22","male","right","Graduated High School","german","","1595356488621","11.604633333333334","INSERT_A_NUMBER",
"main","17","j","correct","3024","images/large_stimulus.jpg","f","j","small","large","large","compatible","Tue Jul 21 2020 20:23:12 GMT+0200 (Central European Summer Time)","1595355792343","22","male","right","Graduated High School","german","","1595356488621","11.604633333333334","INSERT_A_NUMBER",
"main","18","j","correct","2973","images/large_stimulus.jpg","f","j","small","large","large","compatible","Tue Jul 21 2020 20:23:12 GMT+0200 (Central European Summer Time)","1595355792343","22","male","right","Graduated High School","german","","1595356488621","11.604633333333334","INSERT_A_NUMBER",
"main","19","f","correct","2926","images/small_stimulus.jpg","f","j","small","large","small","compatible","Tue Jul 21 2020 20:23:12 GMT+0200 (Central European Summer Time)","1595355792343","22","male","right","Graduated High School","german","","1595356488621","11.604633333333334","INSERT_A_NUMBER",
"main","20","j","correct","2973","images/large_stimulus.jpg","f","j","small","large","large","compatible","Tue Jul 21 2020 20:23:12 GMT+0200 (Central European Summer Time)","1595355792343","22","male","right","Graduated High School","german","","1595356488621","11.604633333333334","INSERT_A_NUMBER",
"main","21","j","correct","3010","images/large_stimulus.jpg","f","j","small","large","large","compatible","Tue Jul 21 2020 20:23:12 GMT+0200 (Central European Summer Time)","1595355792343","22","male","right","Graduated High School","german","","1595356488621","11.604633333333334","INSERT_A_NUMBER",
"main","22","j","correct","2986","images/large_stimulus.jpg","f","j","small","large","large","compatible","Tue Jul 21 2020 20:23:12 GMT+0200 (Central European Summer Time)","1595355792343","22","male","right","Graduated High School","german","","1595356488621","11.604633333333334","INSERT_A_NUMBER",
"main","23","j","correct","3011","images/large_stimulus.jpg","f","j","small","large","large","compatible","Tue Jul 21 2020 20:23:12 GMT+0200 (Central European Summer Time)","1595355792343","22","male","right","Graduated High School","german","","1595356488621","11.604633333333334","INSERT_A_NUMBER",
